doc_id,sentence_nr,sentence,relation_types,arguments
OA-STM_003,898,"If at all , fault - tolerance has been introduced (i) to deal with limited , specific failures ( e.g. errors in communication or data read from storage , which are usually handled via error - correcting codes ) , and (ii) at the level of distributed systems comprised of multiple machines that are fault - prone or subject to attacks ( e.g. data centers or peer - to - peer applications , which use some form of replication ) .",All,"['deal', 'limited , specific failures']"
OA-STM_003,916,An additional algorithmic layer that interacts weakly with the former provides bounded high - frequency clocks atop of it .,All,"['interacts', 'An additional algorithmic layer', 'interacts', 'the former']"
OA-STM_003,927+928,  These non - trivial implementation issues and the complex interactions between the basic building blocks raise the question under which circumstances the high - level properties of the algorithm shown in [ 13]indeed hold for the presented implementation .,All,"['interactions', 'the basic building blocks']"
OA-STM_003,989,"However , they can not cope with any permanent fault of the clock source or the network distributing the clock .",All,"['cope', 'any permanent fault of the clock source', 'cope', 'the network distributing the clock']"
OA-STM_003,1000,"between the nodes due to a respective impossibility result [ 26,27].This lower bound entails that , due to their low connectivity , most existing distributed clock generation schemes [ 11,12,28,29 ] can not cope with a reasonable number of worst - case faults .",All,"['cope', 'the nodes', 'cope', 'a reasonable number of worst - case faults']"
OA-STM_003,1042,"This drastically increases the mean time until overall system failure : In a system that is not resilient to permanent faults , any fault will result in an immediate breakdown of guaranteed properties , whereas a system that is not self - stabilizing will fail ( and might not recover without an external reboot ) once the sum of faults exceeds one third of the nodes.99One could compromise by guaranteeing that nodes recover in bounded time , provided that the number of faults is never overwhelming .",All,"['compromise', 'the number of faults']"
OA-STM_003,1212,"However , the quick cycle differs from the algorithm in Fig . 1 in that there is an interface to the main state machine given in Fig . 8 .",All,"['interface', 'the main state machine', 'given in Fig']"
OA-STM_003,1217,"This timer is coupled to the state accept of Fig . 8 , in which the pulse synchronization algorithm generates a new pulse .",All,"['coupled', 'This timer']"
OA-STM_003,1257,The intricacy lies in designing the interface such that this control does not interfere with the basic cycle if the system is stable .,All,"['interfere', 'this control', 'interfere', 'the basic cycle']"
OA-STM_003,1268,"This is the only interaction with the above layer , which is sufficient if a pulse is successfully generated once .",All,"['interaction', 'the above layer']"
OA-STM_005,13,Each of the additional encounters will shed further light on the interaction of the material released from the plume and the corotating particles in the saturnian magnetosphere .,All,"['interaction', 'the material released from the plume', 'interaction', 'the corotating particles', 'in the saturnian magnetosphere']"
OA-STM_005,59+60,"  MAG onboard the spacecraft ( Dougherty et al . , 2004)and we correlate the MIMI / LEMMS with plasma electron measurements of the Electron Spectrometer ELS , part of the Cassini Plasma Spectrometer Investigation CAPS ( Young et al . , 2004 ) .",All,"['correlate', 'the Electron Spectrometer ELS']"
OA-STM_005,74,( 2009).The interaction between energetic electrons and the moon essentially is given by the individual motion of the particles .,All,"['interaction', 'energetic electrons', 'interaction', 'the moon']"
OA-STM_005,81,The depths of the absorption signature in the particle intensities can be used to determine the amount of material causing the loss of energetic particles as a function of longitudinal distance with respect to Enceladus if the loss processes are known and one of them involves interaction with gas or dust .,All,"['interaction', 'gas']"
OA-STM_005,143,This frame is often referred to as the Enceladus Interaction System (ENIS) .,All,"['Interaction', 'This frame']"
OA-STM_005,178,"In addition we could identify an "" interaction "" region during both flybys ( marked in yellow ) for electrons with MeV energies above the resonant energy .",All,"['interaction', 'region', 'during both flybys']"
OA-STM_005,181,In addition a sharp drop - out spike is observed during the E12 flyby after closest approach downstream in channels BE and E4 coinciding with sharp gradients in Bϕ.,All,"['coinciding', 'E4']"
OA-STM_005,201,"In yellow the high - energy interaction region measured in channels BE , E4 , and G1 is marked again , as for the north equatorial flybys .",All,"['interaction', 'E4']"
OA-STM_005,209,"The high - energy interaction region is quite small as a result of the flyby distance combined with the small overlap with the Enceladus flux tube and/or the small overlap with the Alfvén - wing ( Simon et al . , 2011 ) together with pitch angle changes during the encounter .",All,"['overlap', 'the Enceladus flux tube']"
OA-STM_005,235,"The locations of the peaks in various MIMI / LEMMS channels correlate well with peaks in the dust measurements of the Cosmic Dust Analyzer CDA onboard the spacecraft ( Kempf , private communications ) and with the reported negatively charged dust grain signatures in plasma measurements of the CAPS / ELS instrument ( Jones et al . , 2009 ) onboard the spacecraft .",All,"['correlate', 'the reported negatively charged dust grain signatures']"
OA-STM_005,250,Enceladus shed new light on the interaction of material released from the moon and the magnetosphere .,All,"['interaction', 'the moon', 'interaction', 'the magnetosphere', 'material released from', 'material released from']"
OA-STM_005,260,(2011) showed that the intensity of electrons in the E - ring could also increase during the interaction between neutral gas and dust grains .,All,"['interaction', 'neutral gas', 'interaction', 'dust grains']"
OA-STM_005,261,Inside the plume the conditions are different and therefore it is unclear how the intensity is changed by the interaction .,All,"['interaction', 'the intensity']"
OA-STM_005,310,"Variability of the interaction region between different flybys , may play a role .",All,"['interaction', 'different flybys']"
OA-STM_005,314,Directly measured charged dust would require that the dust grains entering the low - energy aperture of MIMI / LEMMS are bent in the internal magnetic field towards the electron detector E. Assuming a bend radius of about 1 cm with a 800 G internal magnetic field the mass of a singly charged dust grain can not be higher than 4.3amu which is much lighter than those dust particles measured by the dust instrument CDA and therefore can not account for the correlation between the peaks in MIMI / LEMMS and CDA .,All,"['correlation', 'LEMMS', 'correlation', 'CDA', 'the peaks in', 'the peaks in']"
OA-STM_005,319,Finally the fact that we observed some of those peaks in the high - energy aperture HE of MIMI / LEMMS makes it difficult to correlate it with direct dust hits .,All,"['correlate', 'direct dust hits']"
OA-STM_005,324,"However , the fact that those peaks are highly correlated to the CDA dust measurements would mean that within the high - density plume of gas and dust grains some of the energetic electrons survive and are not lost .",All,"['correlated', 'the CDA dust measurements']"
OA-STM_006,28,"Moreover , in the new coordinates φ does not depend on the variable x1 and ∂/∂x1∈〈∇φ(q)〉⊥ for all q ; hence the set CG coincides with the set { q∈U:∂/∂x1∈〈J∇φ(q)〉⊥ } .",All,"['coincides', 'the new coordinates φ', 'coincides', 'the variable x1', 'coincides', 'the set CG', 'coincides', 'the set']"
OA-STM_006,40,"In particular , CG does not coincide with X∩U″ , and as a consequence it must intersect bMϵ for ϵ small enough .",All,"['intersect', 'ϵ small enough']"
OA-STM_007,7,We also confirm that diffusive separation of the detected species does not occur because the heavy atoms and ions collide frequently with the rapidly escaping H and H+ .,All,"['collide', 'the rapidly escaping H and H+']"
OA-STM_007,9,"We show that , as expected , H and O remain mostly neutral up to at least 3Rp , whereas both C and Si are mostly ionized at significantly lower altitudes .",All,"['both', 'H']"
OA-STM_007,59+60,"  However , an upper boundary at 16Rp or higher is not necessarily justified for other reasons because we did not consider the effect of the possible planetary magnetic field , interaction of the atmosphere with the stellar wind , or horizontal transport(e.g . , Stone and Proga , 2009 ; Trammell et al . , 2011).We chose an upper boundary at a high altitude in order to preserve the integrity of the solution in our region of interest below 5Rp .",All,"['interaction', 'the atmosphere', 'interaction', 'the stellar wind', 'interaction', 'horizontal transport(e.g', 'interaction', 'Stone and Proga']"
OA-STM_007,75,The O / O+ transition is coupled to the H / H+ transition through charge exchange reactions .,All,"['transition', 'H+']"
OA-STM_007,78,"Si is also ionized near the 1μbar level , and the balance between Si+ and Si2 + is determined by charge exchange with H+ and H , respectively .",All,"['balance', 'Si+', 'balance', 'Si2 +']"
OA-STM_007,98,(1998) argued that heating by the stellar EUV radiation and interaction with the stellar wind leads to high temperatures of several thousand Kelvins in the upper atmosphere and exosphere of close - in EGPs .,All,"['interaction', 'the stellar wind']"
OA-STM_007,149,"With regard to the upper boundary conditions , we demonstrate that for HD209458b the extrapolated ' outflow ' boundary conditions ( e.g. , Tian et al . , 2005 ) are consistent with recent results from kinetic theory ( Volkov et al . , 2011a , b ) as long as the upper boundary is at a sufficiently high altitude - although uncertainties regarding the interaction of the atmosphere with the stellar wind may limit the validity of both boundary conditions .",All,"['interaction', 'the atmosphere', 'interaction', 'the stellar wind']"
OA-STM_007,215,Therefore it is important not to confuse these two definitions of heating efficiency .,All,"['confuse', 'heating efficiency']"
OA-STM_007,224,Forward and reverse rates are included for each reaction with the ratio of the rate coefficients defined by thermochemical data .,All,"['ratio', 'the rate coefficients', 'defined by thermochemical data']"
OA-STM_007,227,"1 shows the mixing ratios of H2 , H , H2O , O , CH4 , CO , CO2 , and C as a function of altitude from the photochemical model .",All,"['ratios', 'H2', 'ratios', 'H', 'ratios', 'H2O', 'ratios', 'O']"
OA-STM_007,230,"At lower pressures , the mixing ratio of H2 decreases rapidly with altitude and falls below 0.1 above the 0.1μbar level .",All,"['ratio', 'H2']"
OA-STM_007,343,"In general , though , the pressure averaged temperature provides a useful connection between observations and temperatures predicted by models that can be exploited to constrain heating rates .",All,"['connection', 'observations', 'connection', 'temperatures']"
OA-STM_007,399,This is because of strong ionization that leads to frequent Coulomb collisions between photoelectrons and thermal electrons .,All,"['collisions', 'photoelectrons', 'collisions', 'thermal electrons']"
OA-STM_007,407,"In line with previous studies , stellar heating is mainly balanced by adiabatic cooling .",All,"['balanced', 'adiabatic cooling']"
OA-STM_007,443,"It is often assumed that the vertical velocity at the critical point is given by v2 = c2(ξc ) so that the critical point coincides with the isothermal sonic point ( Parker , 1958 ) .",All,"['coincides', 'the isothermal sonic point']"
OA-STM_007,552,"We note that extending the models to 16Rp or higher is not necessarily justified because it ignores the complications arising from the possible influence of the stellar tide , the stellar wind , and interactions of the flow with the magnetic field of the planet or the star .",All,"['interactions', 'the magnetic field of the planet', 'interactions', 'the star']"
OA-STM_007,581,"With these conditions , the H / H+ transition moves up to 3.4Rp , in agreement with the C2 model .",All,"['agreement', 'the C2 model']"
OA-STM_007,613,"(2010) suggested that the balance of Si+ and Si2 + depends on charge exchange with H+ and H , respectively , and our results confirm this .",All,"['balance', 'Si+']"
OA-STM_007,651,"On the other hand , collisions with H+ dominate the transport of heavy ions such as Si+ as long as the ratio [ H+]/[H]≳10 - 4 ( Paper II ) .",All,"['ratio', 'H+']"
OA-STM_007,662,This mechanism is efficient in bringing the heavy elements to the lower thermosphere but it is unlikely to mix the atmosphere up to 3Rp and beyond .,All,"['mix', 'the atmosphere up to 3Rp']"
OA-STM_008,15+16+17,"  Combined with previous Os isotope stratigraphy ( Turgeon and Creaser , 2008 ) and detailed litho- , bio- , and chemostratigraphy , the sections are interpreted to be reliable records of the CTBI.The Osi values for all sites in the WIS , western Tethys and proto - North Atlantic from -800 kyr to-210 kyr are radiogenic , and range from ∼0.5 to ∼1.0 , illustrating that the seawater 187Os/188Os ratio during this time was not homogeneous , but was controlled by the 187Os/188Os composition of the fluxes entering the individual basins ( Figs . 1 , 3 ) .",All,"['ratio', 'the seawater 187Os/188Os']"
OA-STM_008,19,"Recent seawater Os isotope studies during glacial episodes in the last 200 kyr demonstrate how regional variation is correlated to the heterogeneous flux of material into proximal basins ( Paquay and Ravizza , 2012 ) .",All,"['correlated', 'the heterogeneous flux of material']"
OA-STM_008,63,"The interaction of both volcanism and enhanced global weathering on Osi means that quantifying the magnitude and isolating the extent of the two signals is problematic , since the extent of weathering on seawater chemistry is masked by the inputs from the Caribbean LIP to the global ocean .",All,"['interaction', 'volcanism', 'interaction', 'enhanced global weathering']"
OA-STM_008,84,"  The latter suggest a dynamic deep / bottom - water circulation ( MacLeod et al . , 2008 ; Martin et al . , 2012 ) that is interpreted to reflect the relationship between bottom - water sources , climate , ocean anoxia , and circulation .",All,"['relationship', 'bottom - water sources', 'relationship', 'climate', 'relationship', 'ocean anoxia', 'relationship', 'circulation']"
OA-STM_008,94+95,"  These data are predominantly controlled by the mass balance of two end - member Os isotope components : weathered continental crustmantle inputs (0.13) attributed to enhanced submarine volcanism ( Peucker - Ehrenbrink and Ravizza , 2000 ) .",All,"['balance', 'two end - member Os isotope components']"
OA-STM_008,107,"The Wunstorf core has a similarly good age control based on bio- , chemo- , and cyclostratigraphy and can be correlated to the Portland # 1 core succession ( Voigt et al . , 2008 ) .",All,"['correlated', 'the Portland # 1 core succession']"
OA-STM_008,111,"These results suggest that epeiric seas , like the WIS or the European shelf sea , may have played an important role in the driving mechanism for OAE 2.Additionally , we show that in comparison to the pre - OAE 2 interval , the syn - OAE 2 Osi values from Site 1260 and Furlo combined with Portland , Wunstorf , the Vocontian Basin and Site 530 are remarkably similar .",All,"['combined', 'Furlo']"
OA-STM_008,117,"correlationTo date , the CTBI has been correlated ' globally ' using biostratigraphy and carbon isotope chemostratigraphy .",All,"['correlated', 'the CTBI']"
OA-STM_008,118,"Typically , characteristic peaks and troughs in the δ13C record are combined with key bioevents to establish correlation .",All,"['correlation', 'key bioevents']"
OA-STM_008,119,"The six sections presented here ( Fig . 2 ) are correlated according to this method using points ' A ' , ' B ' and ' C ' of the δ13Corg curve that are similar to those first defined by Pratt et al .",All,"['correlated', 'the δ13Corg curve']"
OA-STM_008,127+128,"  The Portland core record has the highest resolution CTB timescale based on integration of new radioisotope dates ( Ar - Ar and U - Pb ) and astrochronology ( Meyers et al . , 2012a ) , and new work ( .",All,"['integration', 'new radioisotope dates', 'integration', 'astrochronology', '( Ar - Ar and U - Pb )']"
OA-STM_008,149,Calculated Osi ratios assume closed system behaviour after deposition with respect to both rhenium and osmium .,All,"['ratios', 'Calculated Osi', 'ratios', 'Osi']"
OA-STM_008,150,"Furthermore , the 187Os/188Os ratios reflect the isotope composition of the local seawater and are unaffected by mineral detritus .",All,"['ratios', 'the 187Os/188Os']"
OA-STM_008,152+153,"  This core was taken about 40 km west of the site near Pueblo , CO that was ratified as the GSSP for the CTBits stratigraphy has been correlated , essentially bed for bed , to the GSSP section ( Sageman et al . , 2006 ) .",All,"['correlated', 'essentially bed for bed']"
OA-STM_008,172,"The end of OAE 2 is expressed by a gradual fall in δ13Corg back to ∼-27‰ ( Sageman et al . , 2006).A high - resolution time scale for the study interval has been developed in recent years based on integration of new radioisotopic dates and astrochronological methods ( Meyers et al . 2001 , 2012a ; Sageman et al . , 2006 ; Ma et al . , submitted ) .",All,"['integration', 'new radioisotopic dates', 'integration', 'astrochronological methods']"
OA-STM_008,182,"Although no macrofossils are recorded directly from the Wunstorf core , a series of index taxa can be placed based on a bed - by - bed correlation between the Lower Saxony Basin and the Munsterland Cretaceous Basin ( Voigt et al . , 2007 , 2008 ) .",All,"['correlation', 'the Lower Saxony Basin', 'correlation', 'the Munsterland Cretaceous Basin']"
OA-STM_008,201+202,"  The distribution of index taxa R. cushmani and H. helvetica , coupled with complete δ13Corg and δ13Ccarb records ; Jarvis et al . , 2011 ) , permits bed - scale correlation with the GSSP near Pueblo .",All,"['correlation', 'the GSSP near Pueblo']"
OA-STM_008,203,"Above the onset of OAE 2 , samples were taken from Pont d'Issole , whereas below the onset some of the samples (n=4) came from Vergons ( Supplementary Material , Table 2d ) , which is correlated with Pont d'Issole based on litho- , bio- , and stable - isotope stratigraphy and is undisturbed by faulting in the pre - OAE 2 interval .",All,"['correlated', ""Pont d'Issole""]"
OA-STM_009,4,"The results suggest that solute - dislocation interaction of screw dislocations was similar to radiation - induced segregation , which is affected by the volume size factor of solute atoms .",All,"['interaction', 'screw dislocations']"
OA-STM_009,99,A detailed numerical calculation to model the solute - screw dislocation interaction and irradiation softening in fcc metals in future will be useful .,All,"['interaction', 'irradiation softening', 'in fcc metals']"
OA-STM_010,2,"However , natural and artificial modification of δ13CRs can cause isotopic disequilibria in the soil - atmosphere system generating a mismatch between what is usually measured and what process - based models will predict .",All,"['mismatch', 'what is usually measured', 'mismatch', 'what process - based models will predict']"
OA-STM_010,70,"Second , the use of reference diffusion chambers , in combination with the dual - chambers , allowed near soil surface CO2 concentrations to be measured .",All,"['combination', 'the dual - chambers']"
OA-STM_010,95,"Most of the C in SOM derives from the microbial degradation of plant litter which consists of polysaccharides and more depleted lignin 13C. Since easily decomposable substances like glucose or sucrose are preferentially decomposed by microbes , the balance between litter - derived compounds retained in the soil has a direct impact , via isotopic mass balance , on the net δ13C of SOM ( Cotrufo et al . , 2005 ) .",All,"['balance', 'litter - derived compounds', 'balance', 'the net δ13C of SOM', 'retained in the soil', 'in the soil']"
OA-STM_010,101,"Its success relies on distinguishing small differences in δ13C of CO2 produced by autotrophic and heterotrophic respiration , and it is frequently applied in combination with incubation of excised roots , litter , and SOM samples .",All,"['combination', 'litter']"
OA-STM_010,129,This assumption means that a chamber technique used for δ13CRs measurements has to achieve and maintain over few hours after its deployment the equilibrium between the soil CO2 efflux and the RS captured inside the chamber headspace .,All,"['equilibrium', 'the soil CO2 efflux']"
OA-STM_010,132+133,"  For steady - state chambers , these can be summarized as : (i) lateral and vertical diffusion of CO2 produced below the chamber base due to the alteration of the diffusion gradient ( Hutchinson and Livingston , 2001 ; Davidson et al . , 2002 ; Nickerson and Risk , 2009 ) ; (ii) the risk of pressure differentials between the headspace volume and the surrounding atmosphere due to the improper control of gas flow rates ( Hutchinson et al . , 2000 ) ; (iii) over - pressurization of the headspace volume when pressurized CO2-free air is forced through to control the CO2 concentration inside the chambers the exchange of gas through the vent in over - pressurized conditions which can dilute chamber air with ambient air ( Longdoz et al . , 2000 ) ; and (v) the alteration of concentration gradients at the soil surface due to excessive turbulence caused by fans inside the chambers used for air circulation .",All,"['differentials', 'the headspace volume']"
OA-STM_010,134,"In general , it is difficult to make a clear distinction between the effects of chamber measurements and the transient changes of biological activities and gas transport on δ13CRs .",All,"['distinction', 'the effects of chamber measurements', 'distinction', 'the transient changes of biological activities', 'on δ13CRs']"
OA-STM_010,155,"The bottom section had an open , bevelled base inserted into the ground .",All,"['inserted', 'bevelled']"
OA-STM_010,161,The bottom section of the dual - chamber was in constant contact with the soil surface .,All,"['contact', 'the soil surface']"
OA-STM_010,203+204,"  After initial care was taken to adjust Ct in all the dual - chambers to be similar to Cr , the continuous supply of CO2-free air into the top - chamberspermitted the CO2 concentration to increase and decrease linearly and therefore to achieve equilibrium between the CO2 flux through the PVDF membrane and the soil efflux .",All,"['equilibrium', 'the soil efflux']"
OA-STM_010,249,"Differences between the CRDS and the IRMS analyses ranged from +0.38 ± 0.75‰ ( mean ± SD ) for CO2 concentrations below 1000 ppm , -0.27 ± 0.27‰ between 1000 and 2000 ppm , and -0.28 ± 0.30‰ between 2000 and 3000 ppm .",All,"['Differences', 'the CRDS']"
OA-STM_010,250+251,"  The linearity of the CRDS was checked throughout the field campaign using two reference cylinders of CO2 balanced with N2 ( 500 ppm:(n = 5 ) ; BOC Ltd. , Guildford , UK ) . .",All,"['balanced', 'N2']"
OA-STM_010,253,"Pearson correlation was employed to examine relationships between the dual - chamber measurements , as well as the incubation measurements , and environmental variables .",All,"['relationships', 'the dual - chamber measurements', 'relationships', 'the incubation measurements', 'relationships', 'environmental variables']"
OA-STM_010,284+285+286,"  δ13CRs ranged from -22.6 to -29.6‰ ( -26.6 ± 0.2 ) , was significantly more depleted in the afternoon than in the morning by-1‰ and was better correlated with TS in the afternoon ( R2 = 0.8 , P < 0.001 ) than the morning ( R2 = 0.1 .",All,"['correlated', 'TS']"
OA-STM_011,2,"In order to resolve the paleoceanographic and paleoclimatic changes during the Oligocene - Miocene transition in the Mediterranean shallow water carbonate systems with the best possible time resolution , we re - evaluated the Decontra section on the Maiella Platform ( central Apennines , Italy ) , which acts as a reference for the correlation of Oligocene - Miocene shallow water deposits in the Mediterranean region .",All,"['correlation', 'Oligocene - Miocene shallow water deposits', 'in the Mediterranean region']"
OA-STM_011,7,"The new integrated bio- , chemo- , and sequence stratigraphic framework enables a more precise timing of environmental changes within the studied time interval and identifies Decontra as an important locality for correlating not only shallow and deep water sediments of the Mediterranean region but also on a global scale .",All,"['correlating', 'Decontra']"
OA-STM_011,8,"In order to enable the correlation between Oligocene - Miocene shallow and deep water sediment successions in the Mediterranean region , we revised the bio- and chemostratigraphy for the 120-m - thick Decontra section at the northwestern margin of the Maiella carbonate platform in the central Apennines (Italy) .",All,"['correlation', 'Oligocene - Miocene shallow', 'correlation', 'deep water sediment successions', 'in the Mediterranean region']"
OA-STM_011,21,"According to the new integrated bio- , chemo- , and sequence stratigraphic scheme , the upwelling event , which is represented by a positive carbon isotope peak in the lower part of the Bryozoan Limestone , correlates to the end of the Middle Miocene Climate Optimum .",All,"['correlates', 'the end of the Middle Miocene Climate Optimum']"
OA-STM_011,25,"Furthermore , the new stratigraphy allows for the first time the precise timing of important paleoceanographic events ( "" Monterey "" event , events of phosphogenesis and volcanic SiO2 input ) on the central Apennine carbonate platforms and their correlation with the Malta - Ragusa Platform .",All,"['correlation', 'the Malta - Ragusa Platform']"
OA-STM_011,65,"Remarkably , there is a close correlation of the TOC curve with the GR values ( Fig . 3 ) .",All,"['correlation', 'the TOC curve', 'correlation', 'the GR values']"
OA-STM_011,91,"The differences result from a mismatch between the Sr - chronology ( Mutti et al . , 1997 , 1999 ) and the biostratigraphic data used in this study .",All,"['mismatch', 'the Sr - chronology', 'mismatch', 'the biostratigraphic data']"
OA-STM_011,99,This positive carbon isotope excursion predates the drowning of the Lepidocyclina Limestone ramp and coincides with the Mi-1 glaciation event in the global isotope record of Zachos et al .,All,"['coincides', 'the Mi-1 glaciation event']"
OA-STM_011,105,Since it correlates with the occurrence of syndepositional microbial micrite in the pore space below the phosphatic hardground in the lower part of the Bryozoan Limestone ( Figs .,All,"['correlates', 'the occurrence of syndepositional microbial micrite']"
OA-STM_011,115,(1988) can easily be correlated with the general trend in the Decontra section ( Fig . 7 ) .,All,"['correlated', 'the general trend']"
OA-STM_011,132+133,"  In line with this correlation Vecsei and Sanders (1999) interpreted the Heterostegina debris limestone at the base of the Lithothamnium Limestone ( Fig.4f , g ) as a transgressive lag deposit .",All,"['correlation', 'Sanders (1999)']"
OA-STM_011,152,  Correlation of Miocene oceanographic events in the Mediterranean .,All,"['Correlation', 'Miocene oceanographic events', 'in the Mediterranean']"
OA-STM_011,153+154+155,"  SeaThe Decontra carbon isotope record is assumed as a proxy for productivity and the δ13C maximum in the Bryozoan Limestone was correlated with the prominent middle Miocene carbon - isotope excursion ( the so - called "" Monterey "" event ) between ~17 ( Mutti et al . , 1999 , 2006 ; Holbourn et al . , 2007 ; Fig ..",All,"['correlated', 'the prominent middle Miocene carbon - isotope excursion', '( the so - called "" Monterey "" event )']"
OA-STM_011,163,"6A , 7 ) and correlates the "" Monterey "" event on the Maiella and the Malta - Ragusa platforms .",All,"['correlates', 'the "" Monterey "" event', 'correlates', 'the Maiella']"
